message_id,job_title,date,link
764,Data Scientist,14/01/2026 00:50:06,https://il.linkedin.com/jobs/view/data-scientist-at-abra-4327598998?position=1&pageNum=0&refId=MbgHf%2FGA80Q0Mv%2F5Pj8w4Q%3D%3D&trackingId=bsZdyVIAxRJ3W22QiRiSrA%3D%3D
765,Data Analyst,14/01/2026 00:50:06,https://il.linkedin.com/jobs/view/data-analyst-at-echo-4316455321?position=2&pageNum=0&refId=MbgHf%2FGA80Q0Mv%2F5Pj8w4Q%3D%3D&trackingId=OjpYmyq2ARHRAUX8JXwsyw%3D%3D
766,Data Analyst,14/01/2026 00:50:07,https://il.linkedin.com/jobs/view/data-analyst-at-vi-4343813469?position=3&pageNum=0&refId=MbgHf%2FGA80Q0Mv%2F5Pj8w4Q%3D%3D&trackingId=AG6HVeYcHbtv41kyvECqdg%3D%3D
768,Data Analyst,14/01/2026 00:57:29,https://il.linkedin.com/jobs/view/data-analyst-at-echo-4316455321?position=1&pageNum=0&refId=Bs%2BkytGWJ5rZq%2BO68sB08Q%3D%3D&trackingId=jHTpzKaiU7YRr9wwTDUeGw%3D%3D
769,Data Analyst,14/01/2026 00:57:29,https://il.linkedin.com/jobs/view/data-analyst-at-vi-4343813469?position=2&pageNum=0&refId=Bs%2BkytGWJ5rZq%2BO68sB08Q%3D%3D&trackingId=Y%2FWSUhftXfjCLz1tTx3H2g%3D%3D
770,Data Scientist,14/01/2026 00:57:30,https://il.linkedin.com/jobs/view/data-scientist-at-vi-4343655767?position=3&pageNum=0&refId=Bs%2BkytGWJ5rZq%2BO68sB08Q%3D%3D&trackingId=xN46vJ6OEuaIMgBNtWMARw%3D%3D
771,Data Analyst,14/01/2026 01:02:10,https://il.linkedin.com/jobs/view/data-analyst-at-echo-4316455321?position=1&pageNum=0&refId=v6hdUV1Z4Z%2F9TWFqAALWWQ%3D%3D&trackingId=9u7C6PeFo48RYcVdWycwdQ%3D%3D
772,Data Analyst,14/01/2026 01:02:11,https://il.linkedin.com/jobs/view/data-analyst-at-vi-4343813469?position=2&pageNum=0&refId=v6hdUV1Z4Z%2F9TWFqAALWWQ%3D%3D&trackingId=alv%2Fc1VwkCq3sy400abWdg%3D%3D
773,Data Scientist,14/01/2026 01:02:11,https://il.linkedin.com/jobs/view/data-scientist-at-vi-4343655767?position=3&pageNum=0&refId=v6hdUV1Z4Z%2F9TWFqAALWWQ%3D%3D&trackingId=sqII%2F0N2jUsRMgdC3q3pqw%3D%3D
778,Data Analyst,14/01/2026 01:02:24,https://il.linkedin.com/jobs/view/data-analyst-at-echo-4316455321?position=1&pageNum=0&refId=ARheiCiFFAJFWZR9xxpzYg%3D%3D&trackingId=rqAFCFuJdje1TMth8PurFA%3D%3D
